 table_schema |         table_name          |          column_name          |          data_type          | is_nullable |                        column_default                         |   primary_key   |   foreign_key    | foreign_table_schema |   foreign_table_name   | foreign_column_name 
--------------+-----------------------------+-------------------------------+-----------------------------+-------------+---------------------------------------------------------------+-----------------+------------------+----------------------+------------------------+---------------------
 public       | oc_accounts                 | uid                           | character varying           | NO          | ''::character varying                                         | uid             |                  |                      |                        | 
 public       | oc_accounts                 | data                          | text                        | NO          | ''::text                                                      |                 |                  |                      |                        | 
 public       | oc_accounts_data            | id                            | bigint                      | NO          | nextval('oc_accounts_data_id_seq'::regclass)                  | id              |                  |                      |                        | 
 public       | oc_accounts_data            | uid                           | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_accounts_data            | name                          | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_accounts_data            | value                         | character varying           | YES         | ''::character varying                                         |                 |                  |                      |                        | 
 public       | oc_activity                 | activity_id                   | bigint                      | NO          | nextval('oc_activity_activity_id_seq'::regclass)              | activity_id     |                  |                      |                        | 
 public       | oc_activity                 | timestamp                     | integer                     | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_activity                 | priority                      | integer                     | NO          | 0                                                             |                 |                  |                      |                        | 
 public       | oc_activity                 | type                          | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_activity                 | user                          | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_activity                 | affecteduser                  | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_activity                 | app                           | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_activity                 | subject                       | character varying           | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_activity                 | subjectparams                 | text                        | NO          |                                                               |                 |                  |                      |                        | 
 public       | oc_activity                 | message                       | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_activity                 | messageparams                 | text                        | YES         |                                                               |                 |                  |                      |                        | 
 public       | oc_activity                 | file                          | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
 public       | oc_activity                 | link                          | character varying           | YES         | NULL::character varying                                       |                 |                  |                      |                        | 
